bill_id,subscriber_id,billing_month,bill_amount,payment_status,payment_date,credit_adjustment,adjustment_reason
BILL_0,SUB_00001,2025-11-01,74.9983063931007,Paid,2026-01-15,0,
BILL_1,SUB_00001,2025-12-01,73.55106718210598,Paid,2026-01-05,50,
BILL_2,SUB_00001,2026-01-01,53.163995399976145,Pending,2026-01-15,0,Service Issue
BILL_3,SUB_00002,2025-11-01,488.03116574586215,Overdue,2026-01-02,0,Promo
BILL_4,SUB_00002,2025-12-01,381.26917079324085,Pending,2026-01-06,50,Promo
BILL_5,SUB_00002,2026-01-01,484.0244328406618,Paid,2026-01-12,0,
BILL_6,SUB_00003,2025-11-01,431.48453544675357,Paid,2026-01-16,50,Billing Error
BILL_7,SUB_00003,2025-12-01,479.14642557981836,Overdue,2026-01-15,0,Service Issue
BILL_8,SUB_00003,2026-01-01,539.9819232058059,Overdue,2026-01-14,0,
BILL_9,SUB_00004,2025-11-01,383.36850285424543,Paid,2026-01-08,50,
BILL_10,SUB_00004,2025-12-01,350.7918654018732,Pending,2026-01-19,0,
BILL_11,SUB_00004,2026-01-01,388.93618399868836,Partial,2026-01-07,0,Promo
BILL_12,SUB_00005,2025-11-01,423.1256186677422,Paid,2026-01-08,0,Service Issue
BILL_13,SUB_00005,2025-12-01,377.77222690149836,Paid,2026-01-10,50,
BILL_14,SUB_00005,2026-01-01,439.2906879525252,Paid,2026-01-03,10,Promo
BILL_15,SUB_00006,2025-11-01,206.3175272818474,Partial,2026-01-09,0,
BILL_16,SUB_00006,2025-12-01,252.1573034066579,Paid,2026-01-07,0,Service Issue
BILL_17,SUB_00006,2026-01-01,187.49117814553554,Paid,2026-01-10,0,Promo
BILL_18,SUB_00007,2025-11-01,448.5839624220714,Paid,2026-01-08,0,
BILL_19,SUB_00007,2025-12-01,422.5879024498808,Paid,2026-01-06,20,Service Issue
BILL_20,SUB_00007,2026-01-01,405.3462641891427,Paid,2026-01-18,10,
BILL_21,SUB_00008,2025-11-01,474.96566421389963,Paid,2026-01-08,50,Service Issue
BILL_22,SUB_00008,2025-12-01,499.4348362227757,Paid,2026-01-17,0,Service Issue
BILL_23,SUB_00008,2026-01-01,559.8509558611021,Overdue,2026-01-12,50,
BILL_24,SUB_00009,2025-11-01,434.0254798508565,Paid,2026-01-15,0,Service Issue
BILL_25,SUB_00009,2025-12-01,416.2673620884398,Paid,2026-01-04,0,
BILL_26,SUB_00009,2026-01-01,379.7777308692452,Paid,2026-01-09,50,
BILL_27,SUB_00010,2025-11-01,469.81710510207915,Paid,2026-01-16,10,Billing Error
BILL_28,SUB_00010,2025-12-01,399.1888241606899,Overdue,2026-01-10,10,
BILL_29,SUB_00010,2026-01-01,463.32663176079706,Paid,2026-01-17,0,Service Issue
BILL_30,SUB_00011,2025-11-01,265.46874932428784,Paid,2026-01-19,50,
BILL_31,SUB_00011,2025-12-01,222.19109104019023,Paid,2026-01-09,50,
BILL_32,SUB_00011,2026-01-01,229.41972191259205,Paid,2026-01-08,50,
BILL_33,SUB_00012,2025-11-01,174.4768837651127,Overdue,2026-01-11,50,Service Issue
BILL_34,SUB_00012,2025-12-01,174.65339587686657,Paid,2026-01-13,50,Service Issue
BILL_35,SUB_00012,2026-01-01,158.35175123648628,Paid,2026-01-13,20,
BILL_36,SUB_00013,2025-11-01,97.2335060330566,Overdue,2026-01-11,20,
BILL_37,SUB_00013,2025-12-01,91.06818179328688,Paid,2026-01-03,0,
BILL_38,SUB_00013,2026-01-01,96.94174203865757,Paid,2026-01-13,10,Billing Error
BILL_39,SUB_00014,2025-11-01,62.14404036070401,Paid,2026-01-07,0,Service Issue
BILL_40,SUB_00014,2025-12-01,68.29180793005106,Partial,2026-01-02,50,
BILL_41,SUB_00014,2026-01-01,67.12469066039993,Overdue,2026-01-10,50,
BILL_42,SUB_00015,2025-11-01,63.18914785154365,Paid,2026-01-17,10,
BILL_43,SUB_00015,2025-12-01,56.9826493582702,Paid,2026-01-18,0,Service Issue
BILL_44,SUB_00015,2026-01-01,53.66849481086962,Paid,2026-01-07,0,Service Issue
BILL_45,SUB_00016,2025-11-01,151.36532807150036,Paid,2026-01-05,0,Billing Error
BILL_46,SUB_00016,2025-12-01,106.00032032377419,Overdue,2026-01-10,10,
BILL_47,SUB_00016,2026-01-01,111.0752594850719,Paid,2026-01-09,20,Service Issue
BILL_48,SUB_00017,2025-11-01,334.8725143572469,Paid,2026-01-19,10,
BILL_49,SUB_00017,2025-12-01,361.7717391154127,Paid,2026-01-13,0,Promo
BILL_50,SUB_00017,2026-01-01,277.93493187325026,Paid,2026-01-08,20,
BILL_51,SUB_00018,2025-11-01,229.51084594986037,Paid,2026-01-09,0,Billing Error
BILL_52,SUB_00018,2025-12-01,215.9565202114688,Paid,2026-01-11,10,Service Issue
BILL_53,SUB_00018,2026-01-01,209.7089128323325,Paid,2026-01-04,0,
BILL_54,SUB_00019,2025-11-01,340.25870345143267,Paid,2026-01-19,50,
BILL_55,SUB_00019,2025-12-01,353.73597925638364,Paid,2026-01-10,0,Promo
BILL_56,SUB_00019,2026-01-01,303.51471712123737,Paid,2026-01-06,20,Billing Error
BILL_57,SUB_00020,2025-11-01,223.52344436336017,Paid,2026-01-14,50,
BILL_58,SUB_00020,2025-12-01,242.70157274769485,Paid,2026-01-06,0,Service Issue
BILL_59,SUB_00020,2026-01-01,287.2075079504444,Paid,2026-01-03,0,Promo
BILL_60,SUB_00021,2025-11-01,307.48860059965693,Overdue,2026-01-08,50,Service Issue
BILL_61,SUB_00021,2025-12-01,294.6386144931387,Paid,2026-01-04,0,
BILL_62,SUB_00021,2026-01-01,305.4966907484401,Partial,2026-01-10,10,Service Issue
BILL_63,SUB_00022,2025-11-01,79.8488500068275,Overdue,2026-01-04,0,
BILL_64,SUB_00022,2025-12-01,71.97970807528567,Paid,2026-01-07,0,
BILL_65,SUB_00022,2026-01-01,65.44062555403545,Partial,2026-01-11,10,
BILL_66,SUB_00023,2025-11-01,371.9468561363357,Overdue,2026-01-04,20,
BILL_67,SUB_00023,2025-12-01,333.82860612091065,Partial,2026-01-10,20,
BILL_68,SUB_00023,2026-01-01,346.39084315902136,Paid,2026-01-13,0,Promo
BILL_69,SUB_00024,2025-11-01,179.37899793391432,Paid,2026-01-13,0,Service Issue
BILL_70,SUB_00024,2025-12-01,200.67178622229375,Paid,2026-01-17,10,
BILL_71,SUB_00024,2026-01-01,188.151400817647,Paid,2026-01-12,50,Service Issue
BILL_72,SUB_00025,2025-11-01,44.362104237299306,Partial,2026-01-13,0,Promo
BILL_73,SUB_00025,2025-12-01,62.42609596450373,Paid,2026-01-18,0,
BILL_74,SUB_00025,2026-01-01,49.799580770618356,Paid,2026-01-05,50,Billing Error
BILL_75,SUB_00026,2025-11-01,250.56079911378055,Partial,2026-01-11,50,Promo
BILL_76,SUB_00026,2025-12-01,244.71840610294583,Pending,2026-01-18,10,Service Issue
BILL_77,SUB_00026,2026-01-01,318.8356047822954,Paid,2026-01-09,20,
BILL_78,SUB_00027,2025-11-01,85.44540039101776,Overdue,2026-01-08,20,
BILL_79,SUB_00027,2025-12-01,85.32512314409935,Paid,2026-01-19,0,
BILL_80,SUB_00027,2026-01-01,92.13778761673748,Paid,2026-01-09,10,Billing Error
BILL_81,SUB_00028,2025-11-01,155.96981666064406,Pending,2026-01-03,50,Service Issue
BILL_82,SUB_00028,2025-12-01,170.05923494223248,Partial,2026-01-15,0,Promo
BILL_83,SUB_00028,2026-01-01,173.9345067108248,Paid,2026-01-17,20,Service Issue
BILL_84,SUB_00029,2025-11-01,270.5369500338348,Paid,2026-01-11,50,Promo
BILL_85,SUB_00029,2025-12-01,209.96102984964816,Paid,2026-01-19,50,
