subscriber_id,subscriber_name,city,zone,plan_type,plan_name,monthly_charge,activation_date,status
SUB_00001,User_1,Abu Dhabi,3,Prepaid,Premium,66,2023-05-31,Suspended
SUB_00002,User_2,Fujairah,8,Postpaid,Basic,419,2024-01-19,Active
SUB_00003,User_3,Sharjah,7,Prepaid,Basic,491,2023-02-05,Suspended
SUB_00004,User_4,Abu Dhabi,8,Prepaid,Premium,363,2023-11-22,Active
SUB_00005,User_5,Dubai,8,Prepaid,Standard,415,2024-04-09,Active
SUB_00006,User_6,Dubai,3,Postpaid,Unlimited,234,2024-04-10,Active
SUB_00007,User_7,Dubai,6,Prepaid,Premium,440,2023-04-05,Active
SUB_00008,User_8,Ajman,4,Prepaid,Unlimited,472,2023-05-14,Active
SUB_00009,User_9,Abu Dhabi,3,Postpaid,Basic,383,2023-06-11,Active
SUB_00010,User_10,Sharjah,5,Postpaid,Premium,491,2024-07-09,Active
SUB_00011,User_11,Dubai,3,Postpaid,Standard,233,2023-10-27,Active
SUB_00012,User_12,Fujairah,5,Postpaid,Unlimited,192,2023-12-22,Active
SUB_00013,User_13,Sharjah,8,Prepaid,Basic,93,2023-08-28,Active
SUB_00014,User_14,Dubai,7,Prepaid,Standard,61,2024-07-17,Active
SUB_00015,User_15,Dubai,3,Postpaid,Premium,57,2024-08-08,Active
SUB_00016,User_16,Dubai,5,Postpaid,Standard,129,2023-06-16,Active
SUB_00017,User_17,Dubai,3,Prepaid,Standard,346,2023-05-20,Churned
SUB_00018,User_18,Abu Dhabi,7,Prepaid,Unlimited,211,2023-05-19,Active
SUB_00019,User_19,Abu Dhabi,8,Postpaid,Standard,351,2023-08-23,Suspended
SUB_00020,User_20,Dubai,3,Prepaid,Standard,265,2023-01-03,Active
SUB_00021,User_21,Abu Dhabi,2,Prepaid,Basic,297,2023-09-13,Active
SUB_00022,User_22,Dubai,5,Prepaid,Premium,78,2024-01-06,Active
SUB_00023,User_23,Dubai,7,Prepaid,Standard,321,2023-10-05,Active
SUB_00024,User_24,Abu Dhabi,5,Postpaid,Standard,182,2024-05-30,Active
SUB_00025,User_25,Abu Dhabi,5,Prepaid,Basic,54,2023-07-31,Active
SUB_00026,User_26,Sharjah,1,Postpaid,Standard,293,2023-08-04,Active
SUB_00027,User_27,Dubai,7,Prepaid,Basic,79,2023-09-27,Active
SUB_00028,User_28,Abu Dhabi,3,Prepaid,Basic,166,2024-04-20,Churned
SUB_00029,User_29,Abu Dhabi,5,Postpaid,Standard,227,2024-06-11,Suspended
SUB_00030,User_30,Dubai,6,Prepaid,Basic,310,2023-03-05,Active
SUB_00031,User_31,Abu Dhabi,1,Prepaid,Basic,284,2024-04-04,Active
SUB_00032,User_32,Dubai,2,Prepaid,Premium,190,2023-01-16,Active
SUB_00033,User_33,Dubai,5,Prepaid,Basic,354,2024-07-17,Active
SUB_00034,User_34,Ajman,8,Prepaid,Standard,394,2023-01-19,Active
SUB_00035,User_35,Fujairah,5,Postpaid,Basic,99,2023-11-21,Active
