ticket_id,subscriber_id,ticket_date,ticket_channel,ticket_category,priority,status,resolution_date,sla_target_hours,assigned_team
TIC_0,SUB_00030,2025-12-22,Call Center,Network Issue,Low,Resolved,1766610000000000000,72,Tier 2
TIC_1,SUB_01201,2025-10-23,Call Center,Network Issue,Low,Open,,72,Tier 3
TIC_2,SUB_00628,2025-12-18,Call Center,Complaint,Medium,Resolved,1766156400000000000,72,Tier 2
TIC_3,SUB_04199,2025-12-15,App,Complaint,Low,Resolved,1765868400000000000,72,Tier 1
TIC_4,SUB_02321,2025-10-25,Call Center,Complaint,Low,Open,,48,Tier 2
TIC_5,SUB_00997,2025-09-12,Call Center,Plan Change,Medium,Escalated,,48,Tier 1
TIC_6,SUB_00636,2025-10-15,App,Plan Change,Medium,Resolved,1760760000000000000,24,Tier 2
TIC_7,SUB_03095,2025-12-08,App,Billing Query,Medium,Resolved,1765461600000000000,24,Tier 2
TIC_8,SUB_04223,2025-12-19,Call Center,Technical Support,Medium,Resolved,1766300400000000000,24,Tier 3
TIC_9,SUB_02331,2025-11-03,Call Center,Plan Change,Low,Resolved,1762153200000000000,72,Tier 1
TIC_10,SUB_02745,2025-09-22,Call Center,Technical Support,Low,Resolved,1758776400000000000,24,Tier 3
TIC_11,SUB_00019,2025-10-28,App,Network Issue,Medium,Resolved,1761883200000000000,48,Tier 1
TIC_12,SUB_02170,2025-11-24,Call Center,Billing Query,Low,Resolved,1764277200000000000,24,Tier 2
TIC_13,SUB_04897,2025-09-26,Online Chat,Plan Change,High,Resolved,1759186800000000000,72,Tier 3
TIC_14,SUB_04349,2025-12-15,Online Chat,Network Issue,Low,Resolved,1765954800000000000,48,Tier 1
TIC_15,SUB_03816,2025-12-18,Online Chat,Technical Support,High,Open,,48,Tier 2
TIC_16,SUB_02256,2025-10-12,Online Chat,Technical Support,Medium,Resolved,1760259600000000000,24,Tier 3
TIC_17,SUB_04962,2025-11-16,Online Chat,Complaint,Low,Resolved,1763388000000000000,24,Tier 3
TIC_18,SUB_01209,2025-12-16,Online Chat,Plan Change,Medium,Resolved,1765900800000000000,24,Field Ops
TIC_19,SUB_02746,2025-10-22,App,Technical Support,Medium,Resolved,1761249600000000000,24,Tier 1
TIC_20,SUB_00958,2025-09-17,Call Center,Plan Change,Low,Resolved,1758186000000000000,48,Tier 2
TIC_21,SUB_03368,2025-11-15,Retail Store,Network Issue,High,Resolved,1763456400000000000,24,Field Ops
TIC_22,SUB_03118,2025-10-17,Call Center,Billing Query,Low,Resolved,1760749200000000000,72,Tier 1
TIC_23,SUB_01140,2025-12-09,Online Chat,Plan Change,Low,Resolved,1765350000000000000,24,Tier 2
TIC_24,SUB_01275,2025-09-19,Online Chat,Billing Query,Medium,Open,,48,Field Ops
TIC_25,SUB_02481,2025-09-11,Call Center,Billing Query,Medium,Escalated,,24,Tier 2
TIC_26,SUB_00053,2025-12-26,Call Center,Network Issue,Low,Resolved,1766862000000000000,48,Tier 2
TIC_27,SUB_04745,2025-09-16,Call Center,Plan Change,High,In Progress,,48,Tier 3
TIC_28,SUB_00841,2025-11-24,Call Center,Billing Query,Medium,Resolved,1764104400000000000,72,Tier 3
TIC_29,SUB_04889,2025-12-02,Retail Store,Network Issue,Low,Resolved,1764694800000000000,72,Tier 3
TIC_30,SUB_04979,2025-12-10,Call Center,Network Issue,Medium,Resolved,1765548000000000000,48,Tier 3
TIC_31,SUB_01105,2025-12-31,Online Chat,Technical Support,Low,Resolved,1767481200000000000,24,Tier 3
TIC_32,SUB_01458,2025-09-09,App,Network Issue,Low,Resolved,1757581200000000000,72,Tier 1
TIC_33,SUB_04423,2025-10-26,App,Network Issue,Low,In Progress,,48,Tier 3
TIC_34,SUB_00293,2025-09-19,Online Chat,Complaint,Medium,Resolved,1758254400000000000,24,Tier 2
TIC_35,SUB_02471,2025-11-22,Online Chat,Network Issue,Low,In Progress,,72,Field Ops
TIC_36,SUB_01720,2025-12-31,Call Center,Plan Change,Critical,Escalated,,72,Tier 2
TIC_37,SUB_04690,2025-09-22,Online Chat,Billing Query,Low,Escalated,,72,Tier 3
TIC_38,SUB_01649,2025-09-23,Call Center,Billing Query,High,Resolved,1758873600000000000,48,Tier 1
TIC_39,SUB_04665,2025-09-26,Call Center,Plan Change,Low,Resolved,1759017600000000000,72,Tier 2
TIC_40,SUB_04953,2025-11-14,Call Center,Billing Query,Medium,Resolved,1763175600000000000,72,Tier 3
TIC_41,SUB_02580,2025-09-21,Call Center,Complaint,Medium,Resolved,1758733200000000000,24,Tier 2
TIC_42,SUB_03897,2025-09-14,Call Center,Technical Support,Low,Resolved,1757822400000000000,48,Field Ops
TIC_43,SUB_01909,2025-11-23,Online Chat,Billing Query,Low,Resolved,1763881200000000000,48,Tier 2
TIC_44,SUB_04993,2025-11-18,Call Center,Billing Query,Low,In Progress,,48,Tier 1
TIC_45,SUB_00110,2025-11-13,App,Technical Support,Low,Escalated,,72,Field Ops
TIC_46,SUB_02635,2025-11-01,App,Technical Support,Medium,Resolved,1762232400000000000,72,Tier 3
TIC_47,SUB_04660,2025-09-10,Online Chat,Network Issue,Medium,Resolved,1757764800000000000,24,Tier 1
TIC_48,SUB_04454,2025-09-11,App,Plan Change,High,Resolved,1757714400000000000,48,Field Ops
TIC_49,SUB_02657,2025-10-18,Retail Store,Technical Support,Low,Resolved,1761051600000000000,72,Tier 3
TIC_50,SUB_03584,2025-11-08,Online Chat,Complaint,Low,Resolved,1762642800000000000,48,Tier 2
TIC_51,SUB_00849,2025-09-13,App,Technical Support,High,Resolved,1758009600000000000,72,Field Ops
TIC_52,SUB_01127,2025-09-27,Online Chat,Network Issue,High,Resolved,1759201200000000000,72,Field Ops
TIC_53,SUB_04374,2025-12-13,Retail Store,Technical Support,Medium,Escalated,,24,Field Ops
TIC_54,SUB_01075,2025-12-11,App,Network Issue,Low,Resolved,1765720800000000000,48,Tier 2
TIC_55,SUB_03454,2025-10-18,Call Center,Network Issue,High,Resolved,1760961600000000000,48,Field Ops
TIC_56,SUB_04815,2025-10-07,Online Chat,Network Issue,Low,Resolved,1760011200000000000,72,Tier 1
TIC_57,SUB_03942,2025-12-13,Call Center,Plan Change,Low,Escalated,,72,Field Ops
TIC_58,SUB_00129,2025-12-04,Retail Store,Billing Query,Low,Resolved,1765004400000000000,72,Tier 1
TIC_59,SUB_03151,2025-09-27,Call Center,Network Issue,Low,In Progress,,24,Tier 3
TIC_60,SUB_04650,2025-10-03,Call Center,Plan Change,Low,Open,,48,Tier 3
TIC_61,SUB_01885,2025-12-13,Call Center,Technical Support,Medium,Resolved,1765832400000000000,24,Tier 3
TIC_62,SUB_00405,2025-12-17,App,Billing Query,Low,Resolved,1766192400000000000,48,Tier 2
TIC_63,SUB_03151,2025-12-27,Retail Store,Network Issue,Low,Resolved,1766930400000000000,24,Tier 2
TIC_64,SUB_03555,2025-12-20,App,Network Issue,Medium,Resolved,1766437200000000000,24,Tier 3
TIC_65,SUB_02702,2025-09-14,Online Chat,Network Issue,Low,Resolved,1758078000000000000,24,Tier 2
TIC_66,SUB_01551,2025-12-09,Call Center,Billing Query,Medium,Resolved,1765278000000000000,72,Tier 1
TIC_67,SUB_00179,2025-11-13,App,Network Issue,High,Resolved,1763168400000000000,48,Field Ops
TIC_68,SUB_00723,2025-10-12,Call Center,Technical Support,Medium,Escalated,,48,Tier 2
TIC_69,SUB_01747,2025-12-21,Online Chat,Billing Query,Low,Resolved,1766592000000000000,24,Tier 2
TIC_70,SUB_02357,2025-09-28,Call Center,Complaint,Low,Resolved,1759348800000000000,24,Tier 1
TIC_71,SUB_02071,2025-11-21,Online Chat,Plan Change,Low,Open,,48,Tier 1
TIC_72,SUB_03748,2025-11-04,Online Chat,Technical Support,Low,Resolved,1762455600000000000,24,Tier 2
TIC_73,SUB_01682,2025-09-11,Call Center,Technical Support,High,Open,,48,Tier 3
TIC_74,SUB_01837,2025-10-21,Online Chat,Network Issue,High,Resolved,1761310800000000000,72,Field Ops
TIC_75,SUB_04551,2025-11-22,Retail Store,Plan Change,Low,In Progress,,48,Tier 3
TIC_76,SUB_02137,2025-12-10,Call Center,Complaint,Medium,Open,,48,Field Ops
TIC_77,SUB_01260,2025-09-27,App,Plan Change,High,Escalated,,24,Tier 1
TIC_78,SUB_02221,2025-12-22,Online Chat,Complaint,High,Resolved,1766682000000000000,72,Field Ops
TIC_79,SUB_01031,2025-11-23,App,Technical Support,High,Escalated,,24,Field Ops
TIC_80,SUB_02757,2025-09-21,Online Chat,Technical Support,Low,Resolved,1758492000000000000,48,Tier 2
TIC_81,SUB_04457,2025-11-11,Call Center,Plan Change,Critical,Resolved,1763118000000000000,72,Tier 2
TIC_82,SUB_01752,2025-11-17,App,Billing Query,Medium,In Progress,,72,Tier 3
TIC_83,SUB_01108,2025-09-04,App,Network Issue,Medium,In Progress,,72,Tier 3
