usage_id,subscriber_id,usage_date,data_usage_gb,voice_minutes,sms_count,roaming_charges,addon_charges
USG_0,SUB_00260,2025-09-04,0.14,367,70,8.62,7.38
USG_1,SUB_04575,2025-11-08,4.52,150,12,15.83,4.22
USG_2,SUB_02748,2025-10-07,2.29,230,52,0.21,6.34
USG_3,SUB_01277,2025-11-27,3.62,372,38,2.85,3.78
USG_4,SUB_04780,2025-10-15,3.74,52,58,0.33,4.3
USG_5,SUB_01651,2025-09-23,0.24,300,90,10.72,11.51
USG_6,SUB_03204,2025-09-19,0.55,233,5,9.74,9.18
USG_7,SUB_00884,2025-12-07,3.06,472,63,5.55,4.39
USG_8,SUB_01520,2025-09-20,2.51,234,39,0.11,2.36
USG_9,SUB_04835,2025-12-21,7.39,26,75,19.11,4.09
USG_10,SUB_00397,2025-09-25,2.42,382,42,9.18,16.05
USG_11,SUB_00528,2025-11-25,3.87,71,66,36.8,8.51
USG_12,SUB_01069,2025-11-10,0.03,158,7,1.47,1.22
USG_13,SUB_04566,2025-12-26,4.67,312,23,1.18,4.2
USG_14,SUB_03771,2025-10-09,0.07,45,57,13.55,1.35
USG_15,SUB_04621,2025-11-25,6.13,155,1,8.78,4.93
USG_16,SUB_01694,2025-12-02,12.61,76,5,22.17,0.67
USG_17,SUB_04117,2025-09-25,0.24,2,72,3.97,1.81
USG_18,SUB_01195,2025-11-20,2.53,422,83,8.12,2.56
USG_19,SUB_03173,2025-09-04,2.73,452,36,21.88,4.7
USG_20,SUB_04207,2025-09-12,2.12,471,73,10.55,1.26
USG_21,SUB_02722,2025-10-14,0.09,457,91,22.63,3.32
USG_22,SUB_01760,2025-10-29,2.19,253,86,2.89,2.28
USG_23,SUB_04214,2025-12-02,1.03,129,3,2.05,13.22
USG_24,SUB_04979,2025-11-04,1.05,91,49,8.37,5.73
USG_25,SUB_01611,2025-12-30,0.16,182,13,42.98,0.56
USG_26,SUB_01661,2025-10-02,0.65,330,54,8.28,15.5
USG_27,SUB_02525,2025-11-29,2.27,475,81,3.57,3.77
USG_28,SUB_04782,2025-12-28,3.64,74,35,1.86,18.65
USG_29,SUB_00556,2025-11-18,1.38,353,57,23.04,1.34
USG_30,SUB_03274,2025-12-04,12.48,204,97,8.97,5.09
USG_31,SUB_00280,2025-09-05,3.09,361,41,3.51,6.77
USG_32,SUB_01702,2025-10-09,0.46,27,94,62.1,4.27
USG_33,SUB_02318,2025-12-18,1.36,377,8,2.67,0.02
USG_34,SUB_02762,2025-12-31,2.17,279,71,6.13,8.29
USG_35,SUB_04236,2025-12-20,6.42,230,95,44.01,0.94
USG_36,SUB_00906,2025-10-22,0.51,372,29,5.35,0.07
USG_37,SUB_00057,2025-09-27,0.92,103,74,5.23,6.71
USG_38,SUB_03827,2025-12-17,4.97,285,72,5.35,10.83
USG_39,SUB_02578,2025-11-12,2.09,167,81,4.59,5.22
USG_40,SUB_03843,2025-09-18,5.12,213,85,4.57,0.21
USG_41,SUB_04931,2025-11-10,4.16,478,51,15.02,0.71
USG_42,SUB_02376,2025-09-05,1.61,221,46,8.57,6.68
USG_43,SUB_01505,2025-09-20,4.55,6,2,1.69,4.8
USG_44,SUB_01682,2025-12-18,5.71,373,19,3.12,10.34
USG_45,SUB_04174,2025-12-04,25.16,235,79,9.89,2.55
USG_46,SUB_02824,2025-10-22,1.32,396,40,3.58,12.44
USG_47,SUB_03601,2025-12-22,1.09,213,7,3.85,5.19
USG_48,SUB_00878,2025-09-05,5.52,172,14,13.95,1.35
USG_49,SUB_04555,2025-12-29,2.5,300,10,6.3,1.47
